layer,metric,node,score
ALL_full,betweenness,Ron Fouchier,0.0726230306381443
ALL_full,betweenness,Feb 1 Conference Call,0.0035546774869998493
ALL_full,betweenness,Natural Origin Hypothesis,2.4915003636831817e-05
ALL_full,betweenness,Ali M. Zaki,0.0
ALL_full,betweenness,Sander van Boheemen,9.716552262754814e-05
ALL_full,betweenness,Theo M. Bestebroer,0.003203913472615263
ALL_full,betweenness,Albert D. M. E. Osterhaus,0.0
ALL_full,betweenness,Ron A. M. Fouchier,0.0
ALL_full,betweenness,Christian Drosten,8.856846785407459e-08
ALL_full,betweenness,Stephan Günther,0.00010913990380276792
ALL_full,betweenness,Wolfgang Preiser,4.648085880047277e-06
ALL_full,betweenness,Sylvie van der Werf,0.0
ALL_full,betweenness,Hans‐Reinhard Brodt,4.648085880047277e-06
ALL_full,betweenness,Stephan Becker,4.648085880047277e-06
ALL_full,betweenness,Holger F. Rabenau,4.648085880047277e-06
ALL_full,betweenness,Marcus Panning,4.648085880047277e-06
ALL_full,betweenness,Larissa Kolesnikova,4.648085880047277e-06
ALL_full,betweenness,Annemarie Berger,4.648085880047277e-06
ALL_full,betweenness,Ana-Maria Burguière,4.648085880047277e-06
ALL_full,betweenness,Jindřich Činátl,4.648085880047277e-06
ALL_full,betweenness,Markus Eickmann,4.648085880047277e-06
ALL_full,betweenness,Nicolas Escriou,0.0
ALL_full,betweenness,Klaus Grywna,4.648085880047277e-06
ALL_full,betweenness,Stefanie Kramme,4.648085880047277e-06
ALL_full,betweenness,Jean‐Claude Manuguerra,4.648085880047277e-06
ALL_full,betweenness,Stefanie Müller,4.648085880047277e-06
ALL_full,betweenness,Volker Rickerts,4.648085880047277e-06
ALL_full,betweenness,Martin Stürmer,4.695036242471996e-06
ALL_full,betweenness,Simon Vieth,4.648085880047277e-06
ALL_full,betweenness,Hans‐Dieter Klenk,4.648085880047277e-06
ALL_full,betweenness,Herbert Schmitz,4.648085880047277e-06
ALL_full,betweenness,Hans Wilhelm Doerr,4.648085880047277e-06
ALL_full,betweenness,Paul A. Rota,4.648085880047277e-06
ALL_full,betweenness,M. Steven Oberste,0.0001003024704402154
ALL_full,betweenness,Stephan S. Monroe,4.648085880047277e-06
ALL_full,betweenness,W. Allan Nix,4.648085880047277e-06
ALL_full,betweenness,Raymond P. Campagnoli,4.648085880047277e-06
ALL_full,betweenness,Joseph P. Icenogle,4.648085880047277e-06
ALL_full,betweenness,Silvia Peñaranda,0.0001003024704402154
ALL_full,betweenness,Bettina Bankamp,4.648085880047277e-06
ALL_full,betweenness,Kaija Maher,4.648085880047277e-06
ALL_full,betweenness,Min-hsin Chen,4.648085880047277e-06
ALL_full,betweenness,Suxiong Tong,4.648085880047277e-06
ALL_full,betweenness,Azaibi Tamin,4.648085880047277e-06
ALL_full,betweenness,Luis Lowe,4.648085880047277e-06
ALL_full,betweenness,Michael Frace,4.648085880047277e-06
ALL_full,betweenness,Joseph L. DeRisi,4.648085880047277e-06
ALL_full,betweenness,Qi Chen,4.648085880047277e-06
ALL_full,betweenness,David Wang,4.648085880047277e-06
ALL_full,betweenness,Dean D. Erdman,4.648085880047277e-06
ALL_full,betweenness,Teresa C. T. Peret,4.648085880047277e-06
ALL_full,betweenness,Cara C. Burns,4.648085880047277e-06
ALL_full,betweenness,Thomas G. Ksiazek,4.648085880047277e-06
ALL_full,betweenness,Pierre E. Rollin,4.648085880047277e-06
ALL_full,betweenness,Anthony Sanchez,4.648085880047277e-06
ALL_full,betweenness,Stephanie Liffick,4.648085880047277e-06
ALL_full,betweenness,Brian Holloway,4.648085880047277e-06
ALL_full,betweenness,Josef Limor,4.648085880047277e-06
ALL_full,betweenness,Karen A. McCaustland,4.648085880047277e-06
ALL_full,betweenness,Melissa Olsen-Rasmussen,4.648085880047277e-06
ALL_full,betweenness,Mark A. Pallansch,4.648085880047277e-06
ALL_full,betweenness,Larry J. Anderson,4.648085880047277e-06
ALL_full,betweenness,William J. Bellini,4.648085880047277e-06
ALL_full,betweenness,Rebecca Garten,0.0
ALL_full,betweenness,C. Todd Davis,0.0
ALL_full,betweenness,Colin A. Russell,0.0
ALL_full,betweenness,Bo Shu,0.0
ALL_full,betweenness,Stephen Lindstrom,0.0
ALL_full,betweenness,Amanda Balish,0.0
ALL_full,betweenness,Wendy Sessions,0.0
ALL_full,betweenness,Xiyan Xu,0.0
ALL_full,betweenness,Eugene Skepner,0.0
ALL_full,betweenness,Varough Deyde,0.0
ALL_full,betweenness,Margaret Okomo‐Adhiambo,0.0
ALL_full,betweenness,Larisa V. Gubareva,0.0
ALL_full,betweenness,John Barnes,0.0
ALL_full,betweenness,Catherine Smith,0.0
ALL_full,betweenness,Shannon Emery,0.0
ALL_full,betweenness,Michael J. Hillman,0.0
ALL_full,betweenness,Pierre Rivailler,0.0
ALL_full,betweenness,James A. Smagala,0.0
ALL_full,betweenness,Miranda de Graaf,0.0
ALL_full,betweenness,David F. Burke,0.011387343805635936
ALL_full,betweenness,Claudia Pappas,0.0
ALL_full,betweenness,Celia Alpuche‐Aranda,0.0
ALL_full,betweenness,Hugo López‐Gatell,0.0
ALL_full,betweenness,Hiram Olivera,0.0
ALL_full,betweenness,Irma López,0.0
ALL_full,betweenness,Christopher A. Myers,0.0
ALL_full,betweenness,Dennis J. Faix,0.0
ALL_full,betweenness,Patrick J. Blair,0.0
ALL_full,betweenness,Cindy Yu,0.0
ALL_full,betweenness,Kimberly M. Keene,0.0
ALL_full,betweenness,P. David Dotson,0.0
ALL_full,betweenness,David Boxrud,0.0
ALL_full,betweenness,Anthony R. Sambol,0.0
ALL_full,betweenness,Syed H. Abid,0.0
ALL_full,betweenness,Kirsten St. George,0.0
ALL_full,betweenness,Tammy Bannerman,0.0
ALL_full,betweenness,Amanda Moore,0.0
ALL_full,betweenness,David J. Stringer,0.0
ALL_full,betweenness,Patricia Blevins,0.0
ALL_full,betweenness,Gail J. Demmler‐Harrison,0.0
ALL_full,betweenness,Michele Ginsberg,0.0
ALL_full,betweenness,Paula Kriner,0.0
ALL_full,betweenness,Steve Waterman,0.0
ALL_full,betweenness,Sandra Smole,0.0
ALL_full,betweenness,Hugo Guevara,0.0
ALL_full,betweenness,Edward A. Belongia,0.0
ALL_full,betweenness,Patricia A. Clark,0.0
ALL_full,betweenness,Sara T. Beatrice,0.0
ALL_full,betweenness,Rubén O. Donis,0.0
ALL_full,betweenness,Jacqueline M. Katz,0.0
ALL_full,betweenness,Lyn Finelli,0.0
ALL_full,betweenness,Carolyn B. Bridges,0.0
ALL_full,betweenness,Michael W. Shaw,0.0
ALL_full,betweenness,Daniel B. Jernigan,0.0
ALL_full,betweenness,Timothy M. Uyeki,0.0
ALL_full,betweenness,Derek J. Smith,0.0
ALL_full,betweenness,Alexander Klimov,0.0
ALL_full,betweenness,Nancy J. Cox,0.0
ALL_full,betweenness,Bernadette G. van den Hoogen,0.0
ALL_full,betweenness,J.C. de Jong,0.0004560392486941796
ALL_full,betweenness,Jan Groen,3.1858782658352934e-05
ALL_full,betweenness,Thijs Kuiken,0.017351576124637846
ALL_full,betweenness,Ronald de Groot,3.1858782658352934e-05
ALL_full,betweenness,V. Stalin Raj,0.001023252070960811
ALL_full,betweenness,Huihui Mou,0.00030531028966793405
ALL_full,betweenness,Saskia L. Smits,0.00014017269567871265
ALL_full,betweenness,Dick H. W. Dekkers,0.00030531028966793405
ALL_full,betweenness,Marcel A. Müller,4.648085880047277e-06
ALL_full,betweenness,Ronald Dijkman,0.00030531028966793405
ALL_full,betweenness,Doreen Muth,0.0001003024704402154
ALL_full,betweenness,Jeroen Demmers,4.648085880047277e-06
ALL_full,betweenness,Volker Thiel,0.00030531028966793405
ALL_full,betweenness,Peter J. M. Rottier,0.0001003024704402154
ALL_full,betweenness,Berend‐Jan Bosch,0.0
ALL_full,betweenness,Bart L. Haagmans,0.0
ALL_full,betweenness,Björn Olsén,0.0
ALL_full,betweenness,Vincent J. Munster,0.0
ALL_full,betweenness,Anders Wallensten,0.0
ALL_full,betweenness,Jonas Waldenström,3.1858782658352934e-05
ALL_full,betweenness,Alan S. Lapedes,0.0
ALL_full,betweenness,Guus F. Rimmelzwaan,0.0006559864286908012
ALL_full,betweenness,Sander Herfst,0.0
ALL_full,betweenness,Eefje J. A. Schrauwen,4.648085880047277e-06
ALL_full,betweenness,Martin Linster,3.1858782658352934e-05
ALL_full,betweenness,Salin Chutinimitkul,4.648085880047277e-06
ALL_full,betweenness,Emmie de Wit,0.00041873355472933594
ALL_full,betweenness,Erin M. Sorrell,4.648085880047277e-06
ALL_full,betweenness,Florian Krammer,0.0
ALL_full,betweenness,Gavin J. D. Smith,0.013405913644067092
ALL_full,betweenness,Malik Peiris,0.008520050393084677
ALL_full,betweenness,Katherine Kedzierska,0.0
ALL_full,betweenness,Peter C. Doherty,0.0
ALL_full,betweenness,Peter Palese,0.0
ALL_full,betweenness,Megan L. Shaw,0.0
ALL_full,betweenness,John J. Treanor,0.0
ALL_full,betweenness,Robert G. Webster,4.648085880047277e-06
ALL_full,betweenness,Adolfo García‐Sastre,0.000256602485780424
ALL_full,betweenness,Raoul J. de Groot,0.0
ALL_full,betweenness,Susan C. Baker,0.0
ALL_full,betweenness,Ralph S. Baric,0.0
ALL_full,betweenness,Caroline S. Brown,0.0
ALL_full,betweenness,Luis Enjuanes,0.0
ALL_full,betweenness,Mónica Galiano,0.000256602485780424
ALL_full,betweenness,Alexander E. Gorbalenya,0.0
ALL_full,betweenness,Ziad A. Memish,0.0
ALL_full,betweenness,Stanley Perlman,0.0
ALL_full,betweenness,Leo L. M. Poon,0.0
ALL_full,betweenness,Eric J. Snijder,0.012431237565136043
ALL_full,betweenness,Gwen Stephens,0.0
ALL_full,betweenness,Patrick C. Y. Woo,0.0
ALL_full,betweenness,Maria Zambon,0.0002269873179104442
ALL_full,betweenness,John Ziebuhr,0.0
ALL_full,betweenness,Peter M. Schneeberger,0.00014017269567871265
ALL_full,betweenness,Frans W. Rozendaal,0.00014017269567871265
ALL_full,betweenness,Jan M. Broekman,0.00014017269567871265
ALL_full,betweenness,S. A. G. Kemink,0.00014017269567871265
ALL_full,betweenness,Martin Schutten,0.0007103157800200005
ALL_full,betweenness,Gerard J. J. van Doornum,0.0003446315092308127
ALL_full,betweenness,Guus Koch,0.00014017269567871265
ALL_full,betweenness,A Bosman,0.0
ALL_full,betweenness,Marion Koopmans,0.07843761488507436
ALL_full,betweenness,Geert van Amerongen,0.0
ALL_full,betweenness,Debby van Riel,0.0001003024704402154
ALL_full,betweenness,Jon D. Laman,3.1858782658352934e-05
ALL_full,betweenness,Ton de Jong,4.648085880047277e-06
ALL_full,betweenness,Gerard van Doornum,3.1858782658352934e-05
ALL_full,betweenness,Wilina Lim,0.006582072299681142
ALL_full,betweenness,Ai Ee Ling,3.1858782658352934e-05
ALL_full,betweenness,Paul K.S. Chan,3.1858782658352934e-05
ALL_full,betweenness,John S. Tam,3.1858782658352934e-05
ALL_full,betweenness,Robin Gopal,0.02998937782194386
ALL_full,betweenness,Jean-Claude Manuguerra,3.1858782658352934e-05
ALL_full,betweenness,Klaus Stöhr,0.0
ALL_full,betweenness,Barry Rockx,0.00010449632615062167
ALL_full,betweenness,Mart M. Lamers,0.00024894888707137016
ALL_full,betweenness,Bas B. Oude Munnink,0.004897449574500017
ALL_full,betweenness,Dennis de Meulder,0.00010555184459658754
ALL_full,betweenness,Judith M. A. van den Brand,0.0003465964244882714
ALL_full,betweenness,Nisreen M.A. Okba,0.00026119593024590665
ALL_full,betweenness,Debby Schipper,1.9611739483816438e-05
ALL_full,betweenness,Peter van Run,0.0005003385997257918
ALL_full,betweenness,Lonneke Leijten,0.0034571675673314315
ALL_full,betweenness,Reina S. Sikkema,0.004897449574500017
ALL_full,betweenness,Ernst J. Verschoor,0.0005053925249755473
ALL_full,betweenness,Babs E. Verstrepen,0.0005003385997257918
