name,tier,organization,primary_role,academic_role,policy_role,grant_review_role,media_role
Ab Osterhaus,1,Univ. Veterinary Medicine Hannover,virologist,Academic: Univ. Veterinary Medicine Hannover,Policy: OMT / RIVM / WHO advisory,Grant reviewer: EU Horizon,Media: frequent (>5 major appearances)
Bart Haagmans,1,Erasmus MC,virologist,Academic: Erasmus MC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: EU Horizon,Media: limited
Diederik Gommers,1,Erasmus MC,intensivist,Academic: Erasmus MC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: none identified,Media: frequent (>5 major appearances)
Jaap van Dissel,1,LUMC / RIVM,infectious disease control,Academic: LUMC / RIVM,Policy: OMT / RIVM / WHO advisory,Grant reviewer: none identified,Media: frequent (>5 major appearances)
Jan Kluytmans,1,UMC Utrecht / Amphia,microbiologist,Academic: UMC Utrecht / Amphia,Policy: OMT / RIVM / WHO advisory,Grant reviewer: ZonMw / NWO / EU Horizon,Media: limited
Marion Koopmans,1,Erasmus MC,virologist,Academic: Erasmus MC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: ZonMw / NWO / EU Horizon,Media: frequent (>5 major appearances)
Ron Fouchier,1,Erasmus MC,virologist,Academic: Erasmus MC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: NSABB / NWO / ERC,Media: incidenteel (H5N1 GOF debate)
Thijs Kuiken,1,Erasmus MC,pathologist,Academic: Erasmus MC,Policy: none identified,Grant reviewer: EU Horizon,Media: limited
Annemiek van der Eijk,2,Erasmus MC,virologist,Academic: Erasmus MC,Policy: none identified,Grant reviewer: none identified,Media: limited
Arfan Ikram,2,Erasmus MC,epidemiologist,Academic: Erasmus MC,Policy: none identified,Grant reviewer: ZonMw / NWO / EU Horizon,Media: limited
Aura Timen,2,Radboud UMC / RIVM,infectious disease control,Academic: Radboud UMC / RIVM,Policy: OMT / RIVM / WHO advisory,Grant reviewer: none identified,Media: limited
Ernst Kuipers,2,Erasmus MC,gastroenterologist / policy,Academic: Erasmus MC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: ZonMw / NWO / EU Horizon,Media: limited
Marc Bonten,2,UMC Utrecht,infectious disease control,Academic: UMC Utrecht,Policy: OMT / RIVM / WHO advisory,Grant reviewer: ZonMw / NWO / EU Horizon,Media: limited
Massimo Palmarini,2,MRC-University of Glasgow,virologist,Academic: MRC-University of Glasgow,Policy: none identified,Grant reviewer: none identified,Media: limited
Menno de Jong,2,RIVM / AMC,virologist,Academic: RIVM / AMC,Policy: OMT / RIVM / WHO advisory,Grant reviewer: none identified,Media: limited
Maarten Keulemans,3,de Volkskrant,science journalist,Academic: de Volkskrant,Policy: none identified,Grant reviewer: none identified,Media: frequent (>5 major appearances)
