name,tier,org,virology_betweenness,policy_betweenness,coauthor_betweenness
Marion Koopmans,1,Erasmus MC,0.2676,0.0,0.2379
Ron Fouchier,1,Erasmus MC,0.1611,0.0758,0.1416
Menno de Jong,2,RIVM / AMC,0.1422,0.0,0.1361
Annemiek van der Eijk,2,Erasmus MC,0.1236,0.0,0.159
Ab Osterhaus,1,Univ. Veterinary Medicine Hannover,0.1099,0.0,0.1136
Bart Haagmans,1,Erasmus MC,0.1032,0.0,0.1242
Aura Timen,2,Radboud UMC / RIVM,0.0862,0.0,0.09
Jan Kluytmans,1,UMC Utrecht / Amphia,0.0817,0.0,0.0822
Thijs Kuiken,1,Erasmus MC,0.0805,0.0,0.0867
Feb 1 Conference Call,0,,0.0627,0.697,0.0
Massimo Palmarini,2,MRC-University of Glasgow,0.0527,0.0,0.0624
Marc Bonten,2,UMC Utrecht,0.0404,0.0,0.0288
Andrew Rambaut,0,University of Edinburgh,0.0376,0.0108,0.0595
Diederik Gommers,1,Erasmus MC,0.0242,0.0,0.0259
Malik Peiris,0,,0.0207,0.0,0.0211
Maria Zambon,0,,0.017,0.0,0.0223
Richard Molenkamp,0,,0.0164,0.0,0.0177
Herman Goossens,0,,0.0163,0.0,0.0134
Wilina Lim,0,,0.0161,0.0,0.0167
Eric J. Snijder,0,,0.0128,0.0,0.0135
Jaap van Dissel,1,LUMC / RIVM,0.0115,0.0,0.0192
Robin Gopal,0,,0.0098,0.0,0.0128
David F. Burke,0,,0.0098,0.0,0.0128
Mihai G. Netea,0,,0.0082,0.0,0.0061
Neeltje A. Kootstra,0,,0.0082,0.0,0.0088
Jeremy Farrar,0,Wellcome Trust,0.0075,0.0108,0.0
Deliberate Insertion Hypothesis,0,,0.0069,0.1591,0.0
Yong Poovorawan,0,,0.0065,0.0,0.0073
Theo M. Bestebroer,0,,0.0057,0.0,0.0062
Janke Schinkel,0,,0.0052,0.0,0.006
Manon Haverkate,0,,0.0052,0.0,0.006
Proximal Origin Paper,0,,0.0038,0.0,0.0455
Reina S. Sikkema,0,,0.0038,0.0,0.004
Bas B. Oude Munnink,0,,0.0038,0.0,0.0041
Anthony Fauci,0,NIAID,0.0036,0.0108,0.0
Henri A. Verbrugh,0,,0.0035,0.0,0.0037
Albert D. M. E. Osterhaus,0,,0.0029,0.0,0.0039
Peter M. Schneeberger,0,,0.0025,0.0,0.0034
V. Stalin Raj,0,,0.0022,0.0,0.003
Frank L. van de Veerdonk,0,,0.0022,0.0,0.0024
Adam Meijer,0,,0.0022,0.0,0.003
Kristian Andersen,0,Scripps Research,0.002,0.0108,0.0
Edward Holmes,0,University of Sydney,0.002,0.0108,0.0
Robert Garry,0,Tulane University,0.002,0.0108,0.0
